Name,Platform,Year of Release,Genre,NA sales,EU sales,JP sales,Other sales,Critic Score,User Score,Rating
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,1.61,2.0,0.15,0.71,77.0,3.4,M
God of War,PS2,2005.0,Action,2.71,1.29,0.02,0.43,94.0,8.9,M
Splatoon,WiiU,2015.0,Shooter,1.54,1.18,1.46,0.26,81.0,8.5,E10+
Nintendo Land,WiiU,2012.0,Misc,2.52,1.11,0.46,0.33,77.0,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,2.66,1.29,0.01,0.46,97.0,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,0.1,2.39,1.05,0.86,86.0,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,2.82,1.03,0.13,0.4,94.0,8.7,M
Zelda II: The Adventure of Link,NES,1987.0,Adventure,2.19,0.5,1.61,0.08,,,
Need for Speed: Most Wanted,PS2,2005.0,Racing,2.03,1.79,0.08,0.47,82.0,9.1,T
Michael Jackson: The Experience,Wii,2010.0,Misc,2.64,1.33,0.01,0.39,56.0,8.3,E10+
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,1.56,1.93,0.19,0.68,,4.8,M
Resistance: Fall of Man,PS3,2006.0,Shooter,1.74,1.72,0.14,0.75,86.0,8.1,M
Sonic the Hedgehog,GEN,1991.0,Platform,3.03,0.91,0.26,0.13,,,
Kingdom Hearts II,PS2,2005.0,Role-Playing,2.2,0.58,1.38,0.17,87.0,9,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,2.09,1.31,0.62,0.31,,,
Super Mario 3D World,WiiU,2013.0,Platform,2.11,1.16,0.73,0.32,93.0,9,E
Minecraft,PS4,2014.0,Misc,1.48,2.02,0.14,0.68,,,
Asteroids,2600,1980.0,Shooter,4.0,0.26,0.0,0.05,,,
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,2.77,1.11,0.0,0.4,,4.9,M
FIFA 15,PS3,2014.0,Sports,0.58,3.02,0.04,0.64,,4.5,E
Fable II,X360,2008.0,Role-Playing,2.51,1.24,0.11,0.41,89.0,6.5,M
Namco Museum,GBA,2001.0,Misc,3.0,1.11,0.05,0.07,79.0,7.3,E
Batman: Arkham Asylum,PS3,2009.0,Action,2.24,1.31,0.07,0.61,91.0,8.9,T
Batman: Arkham Asylum,PS3,2009.0,Action,2.24,1.31,0.07,0.61,91.0,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,1.46,0.0,0.83,1.93,91.0,9.3,M
Assassin's Creed: Revelations,PS3,2011.0,Action,1.41,2.01,0.1,0.7,80.0,7.5,M
Fallout 4,XOne,2015.0,Role-Playing,2.51,1.32,0.01,0.38,88.0,6.2,M
FIFA 14,X360,2013.0,Sports,0.92,2.89,0.01,0.4,84.0,4.2,E
Daxter,PSP,2006.0,Platform,2.45,1.01,0.0,0.75,85.0,8.7,E10+
Warcraft II: Tides of Darkness,PC,1995.0,Strategy,1.7,2.27,0.0,0.23,,,
FIFA Soccer 06,PS2,2005.0,Sports,0.78,2.55,0.04,0.84,80.0,7.8,E
EyeToy Play,PS2,2003.0,Misc,0.88,2.3,0.2,0.83,80.0,7.5,E
Gran Turismo 5 Prologue,PS3,2007.0,Racing,1.28,1.82,0.57,0.52,80.0,7.1,E
Assassin's Creed: Revelations,X360,2011.0,Action,2.25,1.47,0.04,0.43,80.0,7.2,M
FIFA 12,X360,2011.0,Sports,0.84,2.78,0.02,0.53,,,
Teenage Mutant Ninja Turtles,NES,1989.0,Action,3.38,0.44,0.31,0.04,,,
